cp_id,reserve,amount,old_payment_date,new_payment_date,old_payment_method,new_payment_method,old_payment_key,new_payment_key,old_source,new_source,clear_payment_client,reason
8370,007786,82.5,2025-07-24,2013-04-12,bank_transfer,unknown,0007877,0007860,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8372,007783,238.75,2025-07-24,2013-04-13,bank_transfer,unknown,0007889,0007872,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8373,007784,78.75,2025-07-24,2013-04-13,bank_transfer,unknown,0007890,0007873,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8374,007718,300.0,2025-07-24,2013-03-30,bank_transfer,unknown,0007828,0007813,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8375,007787,100.0,2025-07-24,2013-04-12,bank_transfer,unknown,0007876,0007859,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8376,006241,238.59,2025-07-24,2013-02-28,bank_transfer,unknown,0007761,0007639,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8377,007787,175.0,2025-07-24,2013-04-12,bank_transfer,unknown,0007875,0007858,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8378,007784,205.0,2025-07-24,2013-04-11,bank_transfer,unknown,0007874,0007857,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8379,007692,250.0,2025-07-24,2013-03-22,bank_transfer,unknown,0008046,0007768,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8380,007683,65.0,2025-07-24,2013-03-22,bank_transfer,unknown,0008046,0007769,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8381,007527,58.0,2025-07-24,2013-02-20,bank_transfer,unknown,0007703,0007606,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8382,007782,218.75,2025-07-24,2013-04-13,bank_transfer,unknown,0007888,0007871,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8383,007703,350.0,2025-07-24,2013-03-22,bank_transfer,unknown,0008046,0007770,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8384,007684,417.0,2025-07-24,2013-04-30,bank_transfer,unknown,0008046,0007940,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8385,007367,156.0,2025-07-24,2013-04-11,bank_transfer,unknown,0007872,0007855,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8386,007840,231.0,2025-07-24,2013-04-30,bank_transfer,unknown,0008046,0007942,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
