cp_id,reserve,amount,payment_key,old_payment_date,new_payment_date,old_payment_method,new_payment_method,old_source,new_source,reason
23154,018874,37.8,0021513,2025-07-24,2024-09-21,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23156,018875,504.37,0021514,2025-07-24,2024-09-23,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23199,018884,500.0,0021511,2025-07-24,2024-09-20,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23271,018955,1014.76,0021605,2025-07-24,2024-10-31,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23297,018929,500.0,0021573,2025-07-24,2024-10-17,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23358,019022,577.5,0021695,2025-07-24,2024-12-01,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23367,019025,700.0,0021697,2025-07-24,2024-12-03,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23368,019025,0.01,0021698,2025-07-24,2024-12-03,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23370,018952,287.85,0021699,2025-07-24,2024-12-03,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23377,019024,500.0,0021696,2025-07-24,2024-12-03,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23413,018969,255.0,0021732,2025-07-24,2024-12-10,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23440,019051,1128.3,0021757,2025-07-24,2024-12-18,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23446,018999,484.0,0021755,2025-07-24,2024-12-17,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23455,018904,2041.76,0021758,2025-07-24,2024-12-18,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23458,019037,1528.35,0021759,2025-07-24,2024-12-18,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23462,019053,400.0,0021756,2025-07-24,2024-12-18,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
