receipt_id,receipt_date,vendor_name,gross_amount,payment_method,canonical_pay_method,is_driver_reimbursement,reimbursed_via,banking_transaction_id,is_matched,receipt_source,classification_bucket,classification_reason
215658,2012-05-10,PLAZA LIQUOR TOWN,45.20,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215641,2012-05-11,GLOBAL LIQUOR STORE,45.87,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215662,2012-05-14,PLAZA LIQUOR TOWN,273.25,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
214089,2012-05-15,COOP LIQUOR,36.13,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215701,2012-05-15,NORWOOD LIQUOR,96.19,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215659,2012-05-19,PLAZA LIQUOR TOWN,61.58,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215519,2012-05-20,LIQUOR BARN,59.30,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215646,2012-05-26,CAPRI LIQUOR STORE,219.94,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215653,2012-05-26,CAPRI LIQUOR STORE,19.47,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215697,2012-05-26,COLD ONES LIQUOR,52.90,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215753,2012-05-26,LIQUOR DEPOT,14.24,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
214094,2012-05-28,NORWOOD LIQUOR STORE,52.65,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215515,2012-05-28,LIQUOR BARN,16.70,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215734,2012-05-28,LIQUOR DEPOT,50.49,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
217025,2012-05-28,COOP LIQUOR,28.12,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215517,2012-05-29,LIQUOR BARN,28.48,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215679,2012-05-29,WILD TIMS LIQUOR STORE,9.99,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215699,2012-05-29,INGLEWOOD LIQUOR STORE,36.96,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215754,2012-05-29,LIQUOR DEPOT,60.17,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215518,2012-05-31,LIQUOR BARN,380.68,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215505,2012-06-01,LIQUOR BARN,55.53,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215506,2012-06-01,LIQUOR BARN,32.43,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215507,2012-06-01,LIQUOR BARN,19.85,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215508,2012-06-01,LIQUOR BARN,5.85,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215509,2012-06-01,LIQUOR BARN,183.88,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215510,2012-06-01,LIQUOR BARN,88.00,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215511,2012-06-01,LIQUOR BARN,19.83,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215512,2012-06-01,LIQUOR BARN,39.38,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215633,2012-06-01,UPTOWN LIQUOR STORE,43.44,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215504,2012-06-02,LIQUOR BARN,22.87,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215645,2012-06-02,CAPRI LIQUOR STORE,18.97,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215501,2012-06-05,LIQUOR BARN,22.32,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215502,2012-06-07,LIQUOR BARN,72.78,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215741,2012-06-08,LIQUOR DEPOT,61.32,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215503,2012-06-09,LIQUOR BARN,25.38,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
