source_txn_id,source_date,source_side,source_amount,source_description,match_status_120d,best_match_120d_txn_id,best_match_120d_account,best_match_120d_date,best_match_120d_lag_days,best_match_120d_description,best_future_match_txn_id,best_future_match_account,best_future_match_date,best_future_lag_days,best_future_match_description,candidate_count_abs_7d,candidate_count_abs_30d,candidate_count_abs_90d,candidate_count_abs_120d,review_decision
96802,2012-05-30,credit,675.00,GLOBAL SYSTEM DEPOSIT,MATCH_120D,102192,1615,2012-06-19,20,VCARD DEPOSIT,102192,1615,2012-06-19,20,VCARD DEPOSIT,0,1,3,4,MEDIUM_CONFIDENCE_REVIEW_BEFORE_TAG
96803,2012-05-30,credit,600.00,GLOBAL SYSTEM DEPOSIT,MATCH_120D,102211,1615,2012-06-28,29,MCARD DEPOSIT,102211,1615,2012-06-28,29,MCARD DEPOSIT,0,1,4,5,MEDIUM_CONFIDENCE_REVIEW_BEFORE_TAG
97013,2012-08-29,credit,205.00,GLOBAL SYSTEM DEPOSIT,MATCH_120D,82264,1615,2012-08-31,2,MCARD DEPOSIT,82264,1615,2012-08-31,2,MCARD DEPOSIT,1,1,4,6,MEDIUM_CONFIDENCE_REVIEW_BEFORE_TAG
