source_txn_id,source_date,source_side,source_amount,source_description,match_status_120d,best_match_120d_txn_id,best_match_120d_account,best_match_120d_date,best_match_120d_lag_days,best_match_120d_description,best_future_match_txn_id,best_future_match_account,best_future_match_date,best_future_lag_days,best_future_match_description,candidate_count_abs_7d,candidate_count_abs_30d,candidate_count_abs_90d,candidate_count_abs_120d,decision
96465,2012-02-16,credit,627.50,GLOBAL SYSTEM DEPOSIT,MATCH_120D,81582,1615,2012-02-20,4,MCARD DEPOSIT,81582,1615,2012-02-20,4,MCARD DEPOSIT,1,1,1,1,LIKELY_DUPLICATE_OF_1615_ENTRY
96801,2012-05-30,credit,1000.00,GLOBAL SYSTEM DEPOSIT,MATCH_120D,102195,1615,2012-06-25,26,E-TRANSFER RAYELLE ARNDT,102195,1615,2012-06-25,26,E-TRANSFER RAYELLE ARNDT,0,1,1,1,LIKELY_DUPLICATE_OF_1615_ENTRY
97010,2012-08-28,credit,894.51,GLOBAL SYSTEM DEPOSIT,MATCH_120D,82268,1615,2012-08-31,3,VCARD DEPOSIT,82268,1615,2012-08-31,3,VCARD DEPOSIT,1,1,1,1,LIKELY_DUPLICATE_OF_1615_ENTRY
97012,2012-08-29,credit,529.37,GLOBAL SYSTEM DEPOSIT,MATCH_120D,82269,1615,2012-08-31,2,VCARD DEPOSIT,82269,1615,2012-08-31,2,VCARD DEPOSIT,1,1,1,1,LIKELY_DUPLICATE_OF_1615_ENTRY
