            from_table            |        from_col         |           to_table           |      to_col       |                       constraint_name                       
 vehicle_pre_inspections          | driver_id               | employees                    | employee_id       | vehicle_pre_inspections_driver_id_fkey
 vehicle_pre_inspections          | previous_inspection_id  | vehicle_pre_inspections      | inspection_id     | vehicle_pre_inspections_previous_inspection_id_fkey
 vehicle_pre_inspections          | vehicle_id              | vehicles                     | vehicle_id        | vehicle_pre_inspections_vehicle_id_fkey
 vehicle_purchases                | vehicle_id              | vehicles                     | vehicle_id        | vehicle_purchases_vehicle_id_fkey
 vehicle_repossessions            | vehicle_id              | vehicles                     | vehicle_id        | vehicle_repossessions_vehicle_id_fkey
 vehicle_sales                    | vehicle_id              | vehicles                     | vehicle_id        | vehicle_sales_vehicle_id_fkey
 vehicle_writeoffs                | vehicle_id              | vehicles                     | vehicle_id        | vehicle_writeoffs_vehicle_id_fkey
 vendor_account_ledger            | account_id              | vendor_accounts              | account_id        | vendor_account_ledger_account_id_fkey
 vendor_invoices                  | source_receipt_id       | receipts                     | receipt_id        | vendor_invoices_source_receipt_id_fkey
 vendor_synonyms                  | account_id              | vendor_accounts              | account_id        | vendor_synonyms_account_id_fkey
 wage_allocation_pool             | created_by              | employees                    | employee_id       | wage_allocation_pool_created_by_fkey
 wcb_debt_ledger                  | wcb_charge_id           | wcb_recurring_charges        | id                | wcb_debt_ledger_wcb_charge_id_fkey
(208 rows)

