,Date,Transaction Type,#,Name,Memo/Description,Account,Debit,Credit,Balance
   Total for Amort - L-6,,,,,,,   ,"$57,496.00  ",
   Amort - L-7,,,,,,,,,
,26/08/2025,Journal Entry,,,,Limousines & Busses - Amort:Amort - L-7,,"111,250.00  ","-111,250.00  "
   Total for Amort - L-7,,,,,,,   ,"$111,250.00  ",
   Amort - L-8,,,,,,,,,
,26/08/2025,Journal Entry,,,,Limousines & Busses - Amort:Amort - L-8,,"64,130.62  ","-64,130.62  "
   Total for Amort - L-8,,,,,,,   ,"$64,130.62  ",
   Amort - L-9,,,,,,,,,
,26/08/2025,Journal Entry,,,,Limousines & Busses - Amort:Amort - L-9,,"22,066.67  ","-22,066.67  "
   Total for Amort - L-9,,,,,,,   ,"$22,066.67  ",
Total for 1701 Limousines & Busses - Amort,,,,,,,,"$307,004.33  ",
1710 Computer Equipment,,,,,,,,,
,26/08/2025,Journal Entry,,,,1710 Computer Equipment,"8,454.10  ",,"8,454.10  "
Total for 1710 Computer Equipment,,,,,,,"$8,454.10  ",,
1720 Furniture and Equipment,,,,,,,,,
,26/08/2025,Journal Entry,,,,1720 Furniture and Equipment,"9,550.57  ",,"9,550.57  "
,26/08/2025,Journal Entry,,,,1720 Furniture and Equipment,857.00  ,,"10,407.57  "
Total for 1720 Furniture and Equipment,,,,,,,"$10,407.57  ",,
2000 Accounts Payable,,,,,,,,,
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,13.98  ,,-13.98  
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,"4,400.43  ",,"-4,414.41  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,"29,600.52  ",,"-34,014.93  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,"1,897.01  ",,"-35,911.94  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,"3,000.00  ",,"-38,911.94  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,"6,581.41  ",,"-45,493.35  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,"8,074.85  ",,"-53,568.20  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,"1,122.81  ",,"-54,691.01  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,"2,045.25  ",,"-56,736.26  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,494.81  ,,"-57,231.07  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,205.96  ,"-57,025.11  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,494.81  ,"-56,530.30  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,23.50  ,,"-56,553.80  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,"2,977.80  ","-53,576.00  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,"1,365.00  ","-52,211.00  "
