,Date,Transaction Type,#,Name,Memo/Description,Account,Debit,Credit,Balance
,26/08/2025,Journal Entry,,,,6826 Parking & Misc. Ticket Expenses,"7,623.64  ",,"7,623.64  "
Total for 6826 Parking & Misc. Ticket Expenses,,,,,,,"$7,623.64  ",,
6850 Utilities,,,,,,,,,
,26/08/2025,Journal Entry,,,,6850 Utilities,"1,969.94  ",,"1,969.94  "
,26/08/2025,Journal Entry,,,,6850 Utilities,"1,119.88  ",,"3,089.82  "
   Total for 6850 Utilities,,,,,,,"$3,089.82  ",   ,
   6855 Heat,,,,,,,,,
,26/08/2025,Journal Entry,,,,6855 Utilities:Heat,"2,102.23  ",,"2,102.23  "
,26/08/2025,Journal Entry,,,,6855 Utilities:Heat,263.53  ,,"2,365.76  "
   Total for 6855 Heat,,,,,,,"$2,365.76  ",   ,
   6860 Power,,,,,,,,,
,26/08/2025,Journal Entry,,,,6860 Utilities:Power,692.80  ,,692.80  
,26/08/2025,Journal Entry,,,,6860 Utilities:Power,"5,672.28  ",,"6,365.08  "
   Total for 6860 Power,,,,,,,"$6,365.08  ",   ,
   6865 Water,,,,,,,,,
,26/08/2025,Journal Entry,,,,6865 Utilities:Water,304.52  ,,304.52  
   Total for 6865 Water,,,,,,,$304.52  ,   ,
Total for 6850 Utilities with subs,,,,,,,"$12,125.18  ",,
6900 Vehicle R&M,,,,,,,,,
,26/08/2025,Journal Entry,,,,6900 Vehicle R&M,"196,143.89  ",,"196,143.89  "
,26/08/2025,Journal Entry,,,,6900 Vehicle R&M,"142,275.03  ",,"338,418.92  "
Total for 6900 Vehicle R&M,,,,,,,"$338,418.92  ",,
6925 Fuel,,,,,,,,,
,26/08/2025,Journal Entry,,,,6925 Fuel,"320,005.81  ",,"320,005.81  "
Total for 6925 Fuel,,,,,,,"$320,005.81  ",,
6930 Waste Removal,,,,,,,,,
,26/08/2025,Journal Entry,,,,6930 Waste Removal,198.03  ,,198.03  
Total for 6930 Waste Removal,,,,,,,$198.03  ,,
6950 WCB,,,,,,,,,
,26/08/2025,Journal Entry,,,,6950 WCB,"3,807.02  ",,"3,807.02  "
,26/08/2025,Journal Entry,,,,6950 WCB,"15,884.41  ",,"19,691.43  "
Total for 6950 WCB,,,,,,,"$19,691.43  ",,
Lease Expense,,,,,,,,,
,26/08/2025,Journal Entry,,,,Lease Expense,"3,171.41  ",,"3,171.41  "
Total for Lease Expense,,,,,,,"$3,171.41  ",,
,,,,,,,,,
,,,,,,,,,
"Thursday, Sep. 11, 2025 04:56:07 p.m. GMT-7 - Accrual Basis",,,,,,,,,
